title,markdownTitle,body,acceptance_criteria,labels,priority,depends_on,milestone
EPIC: Program charter & architecture blueprint,EPIC: Program charter & architecture blueprint,"Create the high‑level vision, constraints, and architecture for an MCP‑based agentic AI platform that runs on dedicated hardware with pluggable models (local/remote), explicit fallback chains, and a full CI/CD/testing pipeline. Document goals, out‑of‑scope, SLAs, non‑functional requirements (NFRs), and risks. Produce a C4 diagram and an ADR index.","- [ ] Charter doc committed under /docs/charter.md (vision, scope, NFRs, SLAs, risks)
- [ ] C4 model diagrams (C1–C3) in /docs/architecture/ with sources (PlantUML/Mermaid)
- [ ] ADR 000-index and first 5 ADRs in /docs/adr/
- [ ] Diagram shows model adapters, router/fallback, agent runner, eval, CI/CD, observability","epic,docs,architecture",P0,,M0
Scaffold monorepo with polyglot workspaces,Scaffold monorepo with polyglot workspaces,"Initialize a monorepo supporting TypeScript (CLI, router, agent runner), Python (eval harness, adapters), and IaC (Terraform/Helm). Include package managers (pnpm + uv/pip) and consistent tooling.","- [ ] Repo initialized with .editorconfig, .gitattributes, .gitignore
- [ ] /apps, /packages, /infra, /docs, /examples, /tools top-level layout
- [ ] pnpm workspace + Python uv/pip constraints files
- [ ] Conventional Commits + commitlint + semantic-release config","repo,tooling",P0,EPIC: Program charter & architecture blueprint,M0
Set coding standards & pre-commit hooks,Set coding standards & pre-commit hooks,"Establish linting, formatting, type-checking and security static analysis. Enforce with Git hooks and CI.","- [ ] ESLint + TypeScript strict + tsconfig paths
- [ ] Ruff/Black + MyPy (strict) for Python
- [ ] Pre-commit with autofix (eslint, black, ruff, prettier, detect-secrets)
- [ ] Supply Chain scans: npm audit, pip-audit, osv-scanner","quality,security,tooling",P1,Scaffold monorepo with polyglot workspaces,M0
"License, contribution guide, code of conduct","License, contribution guide, code of conduct","Add license suited for commercial protection (e.g., BUSL-1.1 or SSPL) and CONTRIBUTING.md, SECURITY.md, CODE_OF_CONDUCT.md.","- [ ] LICENSE committed (selected in ADR)
- [ ] CONTRIBUTING.md with local dev & test instructions
- [ ] SECURITY.md with reporting/vuln disclosure
- [ ] CODE_OF_CONDUCT.md","docs,legal",P1,EPIC: Program charter & architecture blueprint,M0
Provisioner: NVIDIA drivers + CUDA + container runtime,Provisioner: NVIDIA drivers + CUDA + container runtime,"Automate setup for Linux/Windows/macOS builder/runner nodes with GPU. Use Ansible + scripts to install drivers, CUDA toolkit, and nvidia-container-toolkit.","- [ ] Ansible role + scripts under /infra/ansible/nodes-gpu
- [ ] Validated on Ubuntu LTS + Windows Server + macOS (no GPU accel fallback noted)
- [ ] nvidia-smi works in host and in Docker containers
- [ ] Doc: troubleshooting playbook","infra,gpu,automation",P0,EPIC: Program charter & architecture blueprint,M1
Container base images with CUDA & OpenCL,Container base images with CUDA & OpenCL,"Build minimal base images for Python and Node with CUDA, cuDNN, and common build deps (torch, transformers optional) using multi-stage Dockerfiles.","- [ ] /containers/base/Dockerfile.{node,python}.cuda
- [ ] GHCR publish workflow with tags (cuda-12.x)
- [ ] Runtime image < 3GB, build < 7GB
- [ ] SBOM generated and signed (cosign)","containers,gpu,supplychain",P1,Provisioner: NVIDIA drivers + CUDA + container runtime,M1
Implement MCP server shell,Implement MCP server shell,"Implement a minimal MCP-compatible server that exposes tools/resources for the agent runner. Provide health, version, and capabilities endpoints.","- [ ] /apps/mcp-server with HTTP + JSON-RPC (per spec) and OpenAPI doc
- [ ] Healthz, readyz, /capabilities endpoints
- [ ] Integration test validating MCP handshake
- [ ] Containerized and published via CI","mcp,backend",P0,Scaffold monorepo with polyglot workspaces,M1
Agent runner service (task graph + retries),Agent runner service (task graph + retries),"Build an agent runner that accepts tasks, composes tool calls, handles retries/backoff, and supports parallel branches in a DAG with checkpoints.","- [ ] /apps/agent-runner with task graph engine + durable state store
- [ ] Idempotent retries with exponential backoff + jitter
- [ ] Checkpointing (local + Redis/Postgres backends)
- [ ] Unit + integration tests covering retry/failure semantics","agents,orchestration",P0,Implement MCP server shell,M1
Task queue & scheduler,Task queue & scheduler,Introduce a queue (Redis or RabbitMQ) for agent tasks and a scheduler that respects GPU/CPU resources and priority lanes.,"- [ ] /apps/scheduler integrates with Redis/RabbitMQ
- [ ] Priority queues (P0..P3) + fair scheduling
- [ ] GPU-aware placement (NVIDIA visible devices)
- [ ] Load tests to 1k concurrent tasks with no data loss","queue,scalability,performance",P1,Agent runner service (task graph + retries),M1
Adapter: Local via vLLM/Ollama/TGI,Adapter: Local via vLLM/Ollama/TGI,"Create a unified local-model adapter supporting vLLM and Ollama (and optional TGI). Provide spec: chat, completion, tools, batch, streaming, vision if available.","- [ ] /packages/adapters/local with provider drivers (vllm, ollama, tgi)
- [ ] Configurable models via YAML + hot-reload
- [ ] Benchmarks (tokens/s, latency) saved to /reports/
- [ ] Fallback on provider outage surfaced to router","models,adapters,local",P0,Agent runner service (task graph + retries),M2
